City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,kautokeino,69.0125,23.0412,-19.07,100,100,1.18,NO,1675437548
346,sierre,46.2919,7.5356,9.75,57,0,2.06,CH,1675437728
347,taoudenni,22.6783,-3.9836,19.41,16,99,7.16,ML,1675437677
348,ambon,-3.6954,128.1814,25.08,94,40,2.06,ID,1675437728
349,nyrob,60.733,56.7202,-7.19,95,99,2.73,RU,1675437729
350,tilzapotla,18.4833,-99.2667,22.92,46,5,1.43,MX,1675437730
351,sterling,39.0062,-77.4286,-0.29,43,75,11.83,US,1675437511
352,petropavlovka,50.6114,105.3196,-20.93,97,42,1.31,RU,1675437730
353,homer,59.6425,-151.5483,-1.07,87,100,0.0,US,1675437731
354,barkly west,-28.5354,24.5215,29.6,16,78,0.69,ZA,1675437731
355,shirokiy,49.758,129.523,-29.75,100,55,0.5,RU,1675437732
356,pangody,65.85,74.4859,-13.07,96,94,3.36,RU,1675437732
357,banfora,10.6333,-4.7667,37.27,8,5,2.94,BF,1675437733
358,dicamay,16.7561,122.0037,20.89,91,27,1.53,PH,1675437733
359,mahebourg,-20.4081,57.7,26.81,94,40,2.06,MU,1675437654
360,sawakin,19.1059,37.3321,23.34,58,16,5.47,SD,1675437734
361,lorengau,-2.0226,147.2712,27.35,73,100,0.42,PG,1675437735
362,luwero,0.8492,32.4731,30.99,26,89,0.93,UG,1675437736
363,atbasar,51.8,68.3333,-17.08,97,11,3.36,KZ,1675437736
364,sabzevar,36.2126,57.6819,7.6,36,0,6.17,IR,1675437737
365,mikuni,36.2171,136.1519,-1.05,81,17,3.0,JP,1675437737
366,nakhon thai,17.1006,100.8374,25.86,60,54,1.29,TH,1675437738
367,villa carlos paz,-31.4241,-64.4978,26.7,40,0,5.36,AR,1675437739
368,tolosa,43.6043,1.4437,11.99,47,0,4.12,FR,1675437655
369,bilibino,68.0546,166.4372,-24.38,100,28,2.32,RU,1675437739
370,bengkulu,-3.8004,102.2655,25.21,87,81,3.26,ID,1675437740
371,kailua,21.4022,-157.7394,21.99,95,11,0.45,US,1675437740
372,cabatuan,10.8794,122.486,23.51,91,54,4.64,PH,1675437741
373,ranot,7.7777,100.3213,26.06,86,59,5.59,TH,1675437741
374,andenes,69.3143,16.1194,-3.37,73,0,4.63,NO,1675437742
375,moba,33.2288,105.0179,3.15,65,85,1.73,CN,1675437743
376,sonoita,31.85,-112.8333,11.4,38,100,2.37,MX,1675437743
377,edd,13.9297,41.6925,25.06,81,100,3.75,ER,1675437744
378,palauig,15.435,119.9045,25.37,78,88,2.57,PH,1675437744
379,kanganpur,30.7663,74.1231,15.97,37,36,1.96,PK,1675437745
380,adrar,20.5022,-10.0711,22.23,7,91,6.55,MR,1675437746
381,zholymbet,51.7433,71.7122,-20.09,100,90,3.25,KZ,1675437746
382,pietersburg,-23.9045,29.4688,20.47,88,75,3.6,ZA,1675437747
383,buy,58.4786,41.53,-3.94,96,100,3.38,RU,1675437747
384,quatre cocos,-20.2078,57.7625,26.72,81,35,5.83,MU,1675437748
385,mehran,33.1222,46.1646,12.57,46,0,3.88,IR,1675437750
386,damaturu,11.747,11.9608,35.54,11,52,6.63,NG,1675437750
387,ginir,7.1333,40.7,22.84,16,100,3.94,ET,1675437751
388,guerrero negro,27.9769,-114.0611,13.72,55,28,2.03,MX,1675437751
389,contamana,-7.3333,-75.0167,29.16,52,100,1.06,PE,1675437752
390,grand gaube,-20.0064,57.6608,26.88,79,9,0.89,MU,1675437753
391,taltal,-25.4,-70.4833,21.96,74,25,2.14,CL,1675437753
392,berbera,10.4396,45.0143,24.96,74,53,2.5,SO,1675437548
393,vasterhaninge,59.1167,18.1,-1.2,82,100,4.97,SE,1675437754
394,ngama,11.7833,17.1667,37.61,8,86,5.07,TD,1675437755
395,maputo,-25.9653,32.5892,27.82,69,40,5.66,MZ,1675437616
396,praia da vitoria,38.7333,-27.0667,18.2,77,40,8.2,PT,1675437755
397,kamina,-8.7386,24.9906,25.8,70,99,1.12,CD,1675437756
398,labuan,5.2767,115.2417,25.2,94,20,1.03,MY,1675437757
399,gamba,-2.65,10.0,28.32,79,49,3.66,GA,1675437757
400,kutum,14.2,24.6667,25.87,10,25,4.48,SD,1675437758
401,iquique,-20.2208,-70.1431,25.02,72,45,2.01,CL,1675437598
402,esmeralda,21.8525,-78.1169,27.71,52,11,4.0,CU,1675437758
403,bosaso,11.2842,49.1816,23.76,66,3,3.41,SO,1675437759
404,loanda,-8.8368,13.2343,30.0,70,20,7.72,AO,1675437760
405,vila velha,-20.3297,-40.2925,31.97,59,20,6.69,BR,1675437592
406,pangnirtung,66.1451,-65.7125,-35.0,68,40,0.0,CA,1675437760
407,basco,20.4487,121.9702,24.06,73,37,7.7,PH,1675437761
408,maraba,-5.3686,-49.1178,26.72,74,99,0.77,BR,1675437761
409,cairns,-16.9167,145.7667,26.97,94,100,0.0,AU,1675437581
410,berlevag,70.8578,29.0864,-1.03,64,75,9.26,NO,1675437762
411,namatanai,-3.6667,152.4333,27.05,77,100,2.59,PG,1675437763
412,narayanganj,23.6233,90.5011,22.01,38,9,2.57,BD,1675437763
413,saraland,30.8207,-88.0706,9.75,71,43,5.05,US,1675437764
414,lata,40.1629,-8.3327,16.71,37,0,1.32,PT,1675437765
415,ojinaga,29.5667,-104.4167,8.53,61,0,2.57,MX,1675437765
416,lakhimpur,27.95,80.7667,15.47,51,0,3.82,IN,1675437727
417,namie,37.4833,141.0,-2.38,75,100,2.36,JP,1675437766
418,tautira,-17.7333,-149.15,27.41,76,65,6.92,PF,1675437767
419,fort nelson,58.8053,-122.7002,-20.03,82,75,1.54,CA,1675437767
420,acaponeta,22.4964,-105.3594,20.92,30,29,1.87,MX,1675437768
421,sisimiut,66.9395,-53.6735,-15.43,87,100,3.21,GL,1675437768
422,kushiro,42.975,144.3747,-10.51,84,31,2.2,JP,1675437768
423,paamiut,61.994,-49.6678,-15.69,83,97,4.34,GL,1675437769
424,maceio,-9.6658,-35.7353,31.69,55,40,5.66,BR,1675437423
425,awjilah,29.1081,21.2869,16.43,34,90,2.92,LY,1675437770
426,ouadda,8.0777,22.4007,35.31,9,18,4.03,CF,1675437770
427,dhidhdhoo,6.8833,73.1,25.09,85,100,5.2,MV,1675437771
428,the valley,18.217,-63.0578,27.08,69,20,7.2,AI,1675437772
429,bandarbeyla,9.4942,50.8122,24.22,67,4,8.0,SO,1675437772
430,gaziantep,37.0594,37.3825,3.96,56,40,1.54,TR,1675437773
431,elblag,54.1522,19.4088,-0.02,94,100,7.82,PL,1675437773
432,chabahar,25.2919,60.643,21.77,74,0,5.62,IR,1675437575
433,zogno,45.7919,9.6562,13.94,53,18,1.54,IT,1675437774
434,los llanos de aridane,28.6585,-17.9182,18.86,72,40,4.12,ES,1675437775
435,portao,-29.7017,-51.2419,29.41,76,100,1.79,BR,1675437775
436,pozo colorado,-23.4923,-58.7972,30.03,48,100,2.46,PY,1675437776
437,awbari,26.5921,12.7805,17.83,27,100,8.39,LY,1675437776
438,havre-saint-pierre,50.2334,-63.5986,-10.8,85,100,10.8,CA,1675437777
439,san roque,36.2107,-5.3842,15.46,63,20,4.63,ES,1675437777
440,hattiesburg,31.3271,-89.2903,7.18,71,0,5.14,US,1675437778
441,biak,-0.9131,122.8766,24.77,78,100,1.55,ID,1675437778
442,bubaque,11.2833,-15.8333,26.06,66,9,4.68,GW,1675437779
443,codrington,-38.2667,141.9667,13.56,76,93,7.06,AU,1675437779
444,vigia,-0.8583,-48.1417,27.08,84,82,3.53,BR,1675437780
445,den helder,52.9599,4.7593,8.88,82,100,8.05,NL,1675437780
446,totness,5.8833,-56.3167,27.19,72,17,3.61,SR,1675437781
447,ahipara,-35.1667,173.1667,20.2,95,100,2.55,NZ,1675437781
448,hobyo,5.3505,48.5268,25.28,65,9,8.0,SO,1675437782
449,troitsko-pechorsk,62.7084,56.1964,-14.53,100,95,1.52,RU,1675437782
450,dakar,14.6937,-17.4441,33.49,41,100,5.14,SN,1675437602
451,drawsko pomorskie,53.5306,15.8097,3.37,94,87,5.36,PL,1675437783
452,tuatapere,-46.1333,167.6833,17.07,96,47,1.7,NZ,1675437784
453,shakiso,5.75,38.9167,26.63,14,26,4.05,ET,1675437784
454,kaifeng,34.7911,114.3483,3.42,54,16,2.02,CN,1675437785
455,nouadhibou,20.931,-17.0347,24.99,19,100,3.09,MR,1675437786
456,dubai,25.2582,55.3047,23.96,60,0,1.54,AE,1675437108
457,noumea,-22.2763,166.4572,24.99,86,83,3.39,NC,1675437706
458,kibala,9.1104,18.3463,37.97,6,0,2.57,TD,1675437788
459,dabwali,29.95,74.7333,17.03,29,0,2.49,IN,1675437788
460,marawi,7.9986,124.2928,19.38,96,53,0.33,PH,1675437789
461,port hawkesbury,45.6169,-61.3485,3.99,90,100,5.81,CA,1675437625
462,vanimo,-2.6741,141.3028,25.56,89,100,2.89,PG,1675437790
463,prince rupert,54.3161,-130.3201,5.83,91,100,7.2,CA,1675437791
464,chadiza,-14.0678,32.4392,23.31,84,100,1.82,ZM,1675437791
